"APPLICATION_NUMBER","USE_STATUS","DIRECT_SEASON_START_MONTH_1","DIRECT_DIV_SEASON_END_MONTH_1","DIRECT_SEASON_START_MONTH_2","DIRECT_DIV_SEASON_END_MONTH_2","STORAGE_SEASON_START_MONTH_1","STORAGE_SEASON_END_MONTH_1","STORAGE_SEASON_START_MONTH_2","STORAGE_SEASON_END_MONTH_2"
"A015515","Migrated from old WRIMS data",NA,NA,NA,NA,10,5,NA,NA
"A015521","Migrated from old WRIMS data",NA,NA,NA,NA,10,6,NA,NA
"A015521","Migrated from old WRIMS data",NA,NA,NA,NA,10,6,NA,NA
"A015603","Requested when filed",NA,NA,NA,NA,NA,NA,NA,NA
"A015610","Migrated from old WRIMS data",5,10,NA,NA,NA,NA,NA,NA
"A015624","Migrated from old WRIMS data",NA,NA,NA,NA,11,4,NA,NA
"A015624","Migrated from old WRIMS data",NA,NA,NA,NA,11,4,NA,NA
"A015663","Migrated from old WRIMS data",1,12,NA,NA,NA,NA,NA,NA
"A015663","Migrated from old WRIMS data",1,12,NA,NA,NA,NA,NA,NA
"A015664A","Migrated from old WRIMS data",4,10,NA,NA,NA,NA,NA,NA
"A015664B","Migrated from old WRIMS data",4,10,NA,NA,NA,NA,NA,NA
"A015664C","Migrated from old WRIMS data",4,10,NA,NA,NA,NA,NA,NA
"A015677","Migrated from old WRIMS data",6,10,NA,NA,NA,NA,NA,NA
"A015678","Migrated from old WRIMS data",6,10,NA,NA,NA,NA,NA,NA
"A015685","Migrated from old WRIMS data",4,6,NA,NA,NA,NA,NA,NA
"A015704","Migrated from old WRIMS data",1,12,NA,NA,NA,NA,NA,NA
"A015720","Migrated from old WRIMS data",NA,NA,NA,NA,10,4,NA,NA
"A015720","Migrated from old WRIMS data",NA,NA,NA,NA,10,4,NA,NA
"A015721","Requested when filed",1,12,NA,NA,NA,NA,NA,NA
"A015724","Migrated from old WRIMS data",5,10,NA,NA,NA,NA,NA,NA
"A015724","Migrated from old WRIMS data",5,10,NA,NA,NA,NA,NA,NA
"A015726","Migrated from old WRIMS data",5,11,NA,NA,NA,NA,NA,NA
"A015727","Migrated from old WRIMS data",1,12,NA,NA,NA,NA,NA,NA
"A015728A","Migrated from old WRIMS data",4,12,NA,NA,NA,NA,NA,NA
"A015728A","Migrated from old WRIMS data",4,12,NA,NA,NA,NA,NA,NA
"A015728A","Migrated from old WRIMS data",4,12,NA,NA,NA,NA,NA,NA
"A015728B","Migrated from old WRIMS data",4,12,NA,NA,NA,NA,NA,NA
"A015728B","Migrated from old WRIMS data",4,12,NA,NA,NA,NA,NA,NA
"A015728B","Migrated from old WRIMS data",4,12,NA,NA,NA,NA,NA,NA
"A015729","Migrated from old WRIMS data",5,11,NA,NA,NA,NA,NA,NA
"A015736","Migrated from old WRIMS data",1,12,NA,NA,NA,NA,NA,NA
"A015736","Migrated from old WRIMS data",1,12,NA,NA,NA,NA,NA,NA
"A015736","Migrated from old WRIMS data",1,12,NA,NA,NA,NA,NA,NA
"A015737","Migrated from old WRIMS data",4,9,NA,NA,NA,NA,NA,NA
"A015737","Migrated from old WRIMS data",4,9,NA,NA,NA,NA,NA,NA
"A015737","Migrated from old WRIMS data",4,9,NA,NA,NA,NA,NA,NA
"A015743","Migrated from old WRIMS data",5,11,NA,NA,NA,NA,NA,NA
"A015743","Migrated from old WRIMS data",5,11,NA,NA,NA,NA,NA,NA
"A015759","Migrated from old WRIMS data",4,12,NA,NA,NA,NA,NA,NA
"A015760","Migrated from old WRIMS data",4,11,NA,NA,NA,NA,NA,NA
"A015779","Migrated from old WRIMS data",NA,NA,NA,NA,5,9,NA,NA
"A015780","Migrated from old WRIMS data",5,11,NA,NA,NA,NA,NA,NA
"A015781","Migrated from old WRIMS data",5,11,NA,NA,NA,NA,NA,NA
"A015782","Migrated from old WRIMS data",5,11,NA,NA,NA,NA,NA,NA
"A015796","Migrated from old WRIMS data",4,11,NA,NA,NA,NA,NA,NA
"A015854","Migrated from old WRIMS data",NA,NA,NA,NA,10,5,NA,NA
"A015894","Migrated from old WRIMS data",NA,NA,NA,NA,11,5,NA,NA
"A015947","Migrated from old WRIMS data",NA,NA,NA,NA,10,5,NA,NA
"A015983","Migrated from old WRIMS data",5,11,NA,NA,NA,NA,NA,NA
"A015984","Migrated from old WRIMS data",5,11,NA,NA,NA,NA,NA,NA
"A015984","Migrated from old WRIMS data",1,12,NA,NA,NA,NA,NA,NA
"A016077","Migrated from old WRIMS data",NA,NA,NA,NA,10,5,NA,NA
"A016077","Migrated from old WRIMS data",NA,NA,NA,NA,10,5,NA,NA
"A016077","Migrated from old WRIMS data",NA,NA,NA,NA,10,5,NA,NA
"A016077","Migrated from old WRIMS data",NA,NA,NA,NA,10,5,NA,NA
"A016086","Migrated from old WRIMS data",NA,NA,NA,NA,11,4,NA,NA
"A016106","Requested when filed",NA,NA,NA,NA,10,4,NA,NA
"A016106","Requested when filed",NA,NA,NA,NA,10,4,NA,NA
"A016106","Requested when filed",NA,NA,NA,NA,10,4,NA,NA
"A016141","Migrated from old WRIMS data",1,12,NA,NA,NA,NA,NA,NA
"A016141","Migrated from old WRIMS data",1,12,NA,NA,NA,NA,NA,NA
"A016141","Migrated from old WRIMS data",5,10,NA,NA,NA,NA,NA,NA
"A016155","Migrated from old WRIMS data",5,11,NA,NA,NA,NA,NA,NA
"A016190","Migrated from old WRIMS data",NA,NA,NA,NA,10,4,NA,NA
"A016190","Migrated from old WRIMS data",NA,NA,NA,NA,10,4,NA,NA
"A016218","Migrated from old WRIMS data",NA,NA,NA,NA,10,5,NA,NA
"A016218","Migrated from old WRIMS data",NA,NA,NA,NA,10,5,NA,NA
"A016249","Migrated from old WRIMS data",5,11,NA,NA,NA,NA,NA,NA
"A016249","Migrated from old WRIMS data",5,11,NA,NA,NA,NA,NA,NA
"A016308","Migrated from old WRIMS data",6,11,NA,NA,NA,NA,NA,NA
"A016319","Migrated from old WRIMS data",4,12,NA,NA,NA,NA,NA,NA
"A016334","Requested when filed",5,10,NA,NA,NA,NA,NA,NA
"A016334","Requested when filed",5,10,NA,NA,NA,NA,NA,NA
"A016347","Migrated from old WRIMS data",5,7,NA,NA,NA,NA,NA,NA
"A016357","Requested when filed",4,11,NA,NA,NA,NA,NA,NA
"A016381","Migrated from old WRIMS data",NA,NA,NA,NA,11,4,NA,NA
"A016381","Migrated from old WRIMS data",NA,NA,NA,NA,11,4,NA,NA
"A016398","Migrated from old WRIMS data",4,11,NA,NA,NA,NA,NA,NA
"A016405","Migrated from old WRIMS data",5,11,NA,NA,NA,NA,NA,NA
"A016416","Migrated from old WRIMS data",5,10,NA,NA,NA,NA,NA,NA
"A016440","Migrated from old WRIMS data",4,11,NA,NA,NA,NA,NA,NA
"A016443","Migrated from old WRIMS data",NA,NA,NA,NA,NA,NA,NA,NA
"A016443","Migrated from old WRIMS data",NA,NA,NA,NA,NA,NA,NA,NA
"A016443","Migrated from old WRIMS data",NA,NA,NA,NA,NA,NA,NA,NA
"A016457","Requested when filed",4,12,NA,NA,NA,NA,NA,NA
"A016467","Requested when filed",NA,NA,NA,NA,NA,NA,NA,NA
"A016472","Migrated from old WRIMS data",4,10,NA,NA,NA,NA,NA,NA
"A016478","Migrated from old WRIMS data",NA,NA,NA,NA,10,4,NA,NA
"A016478","Migrated from old WRIMS data",NA,NA,NA,NA,10,4,NA,NA
"A016478","Migrated from old WRIMS data",NA,NA,NA,NA,10,4,NA,NA
"A016524","Migrated from old WRIMS data",5,11,NA,NA,NA,NA,NA,NA
"A016525","Migrated from old WRIMS data",4,11,NA,NA,NA,NA,NA,NA
"A016527","Migrated from old WRIMS data",NA,NA,NA,NA,10,4,NA,NA
"A016545","Migrated from old WRIMS data",NA,NA,NA,NA,4,6,NA,NA
"A016557","Requested when filed",4,9,NA,NA,NA,NA,NA,NA
"A016561","Requested when filed",5,10,NA,NA,NA,NA,NA,NA
"A016655","Migrated from old WRIMS data",NA,NA,NA,NA,10,4,NA,NA
"A016655","Migrated from old WRIMS data",NA,NA,NA,NA,10,4,NA,NA
"A016655","Migrated from old WRIMS data",NA,NA,NA,NA,10,4,NA,NA
"A016670","Migrated from old WRIMS data",5,10,NA,NA,NA,NA,NA,NA
"A016670","Added by change order",5,10,NA,NA,NA,NA,NA,NA
"A016671","Requested when filed",5,10,NA,NA,NA,NA,NA,NA
"A016673","Migrated from old WRIMS data",NA,NA,NA,NA,NA,NA,NA,NA
"A016758","Migrated from old WRIMS data",4,11,NA,NA,NA,NA,NA,NA
"A016777","Migrated from old WRIMS data",5,10,NA,NA,NA,NA,NA,NA
"A016821","Migrated from old WRIMS data",4,11,NA,NA,NA,NA,NA,NA
"A016825","Requested when filed",1,6,NA,NA,NA,NA,NA,NA
"A016825","Requested when filed",6,9,NA,NA,NA,NA,NA,NA
"A016904","Migrated from old WRIMS data",NA,NA,NA,NA,10,4,NA,NA
"A016904","Migrated from old WRIMS data",NA,NA,NA,NA,10,4,NA,NA
"A016904","Migrated from old WRIMS data",NA,NA,NA,NA,10,4,NA,NA
"A016961","Migrated from old WRIMS data",NA,NA,NA,NA,11,5,NA,NA
"A016961","Migrated from old WRIMS data",NA,NA,NA,NA,11,5,NA,NA
"A016961","Migrated from old WRIMS data",NA,NA,NA,NA,11,5,NA,NA
"A016973","Migrated from old WRIMS data",4,11,NA,NA,11,5,NA,NA
"A016973","Migrated from old WRIMS data",4,11,NA,NA,11,5,NA,NA
"A017056","Migrated from old WRIMS data",4,10,NA,NA,NA,NA,NA,NA
"A017081","Migrated from old WRIMS data",4,10,NA,NA,NA,NA,NA,NA
"A017081","Migrated from old WRIMS data",4,10,NA,NA,NA,NA,NA,NA
"A017091A","Migrated from old WRIMS data",NA,NA,NA,NA,12,4,NA,NA
"A017091B","Migrated from old WRIMS data",NA,NA,NA,NA,12,4,NA,NA
"A017091B","Migrated from old WRIMS data",NA,NA,NA,NA,12,4,NA,NA
"A017091C","Migrated from old WRIMS data",NA,NA,NA,NA,12,4,NA,NA
"A017091C","Migrated from old WRIMS data",NA,NA,NA,NA,12,4,NA,NA
"A017098","Migrated from old WRIMS data",NA,NA,NA,NA,10,5,NA,NA
"A017100","Migrated from old WRIMS data",5,10,NA,NA,NA,NA,NA,NA
"A017121","Requested when filed",1,12,NA,NA,NA,NA,NA,NA
"A017145","Added by change order",5,10,NA,NA,NA,NA,NA,NA
"A017145","Migrated from old WRIMS data",5,10,NA,NA,NA,NA,NA,NA
"A017232","Migrated from old WRIMS data",11,7,NA,NA,NA,NA,NA,NA
"A017237","Migrated from old WRIMS data",NA,NA,NA,NA,10,6,NA,NA
"A017237","Migrated from old WRIMS data",NA,NA,NA,NA,10,6,NA,NA
"A017240","Migrated from old WRIMS data",5,10,NA,NA,1,12,NA,NA
"A017240","Migrated from old WRIMS data",5,10,NA,NA,1,12,NA,NA
"A017240","Migrated from old WRIMS data",5,10,NA,NA,1,12,NA,NA
"A017240","Migrated from old WRIMS data",5,10,NA,NA,1,12,NA,NA
"A017263","Migrated from old WRIMS data",NA,NA,NA,NA,10,4,NA,NA
"A017271","Migrated from old WRIMS data",5,9,NA,NA,NA,NA,NA,NA
"A017271","Migrated from old WRIMS data",5,9,NA,NA,NA,NA,NA,NA
"A017366","Migrated from old WRIMS data",5,10,NA,NA,NA,NA,NA,NA
"A017477","Migrated from old WRIMS data",NA,NA,NA,NA,NA,NA,NA,NA
"A017479","Migrated from old WRIMS data",NA,NA,NA,NA,12,5,NA,NA
"A017508","Migrated from old WRIMS data",5,11,NA,NA,NA,NA,NA,NA
"A017508","Migrated from old WRIMS data",5,11,NA,NA,NA,NA,NA,NA
"A017551","Migrated from old WRIMS data",6,10,NA,NA,NA,NA,NA,NA
"A017587","Migrated from old WRIMS data",11,7,NA,NA,NA,NA,NA,NA
"A017587","Migrated from old WRIMS data",11,7,NA,NA,NA,NA,NA,NA
"A017622","Migrated from old WRIMS data",5,11,NA,NA,NA,NA,NA,NA
"A017624","Migrated from old WRIMS data",5,6,NA,NA,NA,NA,NA,NA
"A017642","Migrated from old WRIMS data",NA,NA,NA,NA,4,5,NA,NA
"A017642","Migrated from old WRIMS data",NA,NA,NA,NA,4,5,NA,NA
"A017689","Migrated from old WRIMS data",NA,NA,NA,NA,10,5,NA,NA
"A017689","Migrated from old WRIMS data",NA,NA,NA,NA,10,5,NA,NA
"A017717","Migrated from old WRIMS data",NA,NA,NA,NA,10,5,NA,NA
"A017717","Migrated from old WRIMS data",NA,NA,NA,NA,10,5,NA,NA
"A017717","Migrated from old WRIMS data",NA,NA,NA,NA,10,5,NA,NA
"A017745","Migrated from old WRIMS data",1,12,NA,NA,NA,NA,NA,NA
"A017795","Migrated from old WRIMS data",NA,NA,NA,NA,11,5,NA,NA
"A017795","Migrated from old WRIMS data",NA,NA,NA,NA,11,5,NA,NA
"A017833","Migrated from old WRIMS data",4,10,10,4,NA,NA,NA,NA
"A017833","Migrated from old WRIMS data",4,10,NA,NA,NA,NA,NA,NA
"A017868","Migrated from old WRIMS data",6,10,NA,NA,NA,NA,NA,NA
"A017871","Migrated from old WRIMS data",NA,NA,NA,NA,11,6,NA,NA
"A017871","Migrated from old WRIMS data",NA,NA,NA,NA,11,6,NA,NA
"A017871","Migrated from old WRIMS data",NA,NA,NA,NA,11,6,NA,NA
"A017881","Migrated from old WRIMS data",6,11,NA,NA,NA,NA,NA,NA
"A017885","Migrated from old WRIMS data",5,10,NA,NA,NA,NA,NA,NA
"A017911A","Requested when filed",5,10,NA,NA,NA,NA,NA,NA
"A017911B","Requested when filed",5,10,NA,NA,NA,NA,NA,NA
"A017919","Migrated from old WRIMS data",NA,NA,NA,NA,12,4,NA,NA
"A017933","Migrated from old WRIMS data",NA,NA,NA,NA,10,5,NA,NA
"A017978","Migrated from old WRIMS data",5,10,NA,NA,NA,NA,NA,NA
"A017978","Migrated from old WRIMS data",5,10,NA,NA,NA,NA,NA,NA
"A017978","Migrated from old WRIMS data",5,10,NA,NA,NA,NA,NA,NA
"A017998","Migrated from old WRIMS data",NA,NA,NA,NA,11,5,NA,NA
"A017998","Migrated from old WRIMS data",NA,NA,NA,NA,11,5,NA,NA
"A017999","Migrated from old WRIMS data",NA,NA,NA,NA,10,3,NA,NA
"A017999","Migrated from old WRIMS data",NA,NA,NA,NA,10,3,NA,NA
"A018060","Migrated from old WRIMS data",3,12,NA,NA,NA,NA,NA,NA
"A018060","Migrated from old WRIMS data",1,12,NA,NA,NA,NA,NA,NA
"A018093A","Requested when filed",5,10,NA,NA,NA,NA,NA,NA
"A018093B","Added by change order",5,10,NA,NA,NA,NA,NA,NA
"A018093B","Migrated from old WRIMS data",5,10,NA,NA,NA,NA,NA,NA
"A018127","Migrated from old WRIMS data",3,12,NA,NA,NA,NA,NA,NA
"A018138","Migrated from old WRIMS data",NA,NA,NA,NA,10,5,NA,NA
"A018138","Migrated from old WRIMS data",NA,NA,NA,NA,10,5,NA,NA
"A018138","Migrated from old WRIMS data",NA,NA,NA,NA,10,5,NA,NA
"A018138","Migrated from old WRIMS data",NA,NA,NA,NA,10,5,NA,NA
"A018192","Migrated from old WRIMS data",NA,NA,NA,NA,10,5,NA,NA
"A018200","Migrated from old WRIMS data",5,9,NA,NA,NA,NA,NA,NA
"A018235","Migrated from old WRIMS data",NA,NA,NA,NA,10,4,NA,NA
"A018241","Migrated from old WRIMS data",4,10,NA,NA,NA,NA,NA,NA
"A018274A","Migrated from old WRIMS data",NA,NA,NA,NA,12,5,NA,NA
"A018274A","Migrated from old WRIMS data",NA,NA,NA,NA,12,5,NA,NA
"A018274A","Migrated from old WRIMS data",NA,NA,NA,NA,12,5,NA,NA
"A018274A","Migrated from old WRIMS data",NA,NA,NA,NA,12,5,NA,NA
"A018274A","Migrated from old WRIMS data",NA,NA,NA,NA,12,5,NA,NA
"A018274B","Migrated from old WRIMS data",NA,NA,NA,NA,12,5,NA,NA
"A018274B","Migrated from old WRIMS data",NA,NA,NA,NA,12,5,NA,NA
"A018274B","Migrated from old WRIMS data",NA,NA,NA,NA,12,5,NA,NA
"A018277","Migrated from old WRIMS data",NA,NA,NA,NA,11,6,NA,NA
"A018277","Migrated from old WRIMS data",NA,NA,NA,NA,11,6,NA,NA
"A018277","Migrated from old WRIMS data",NA,NA,NA,NA,11,6,NA,NA
"A018328","Migrated from old WRIMS data",NA,NA,NA,NA,11,7,NA,NA
"A018392","Migrated from old WRIMS data",6,11,NA,NA,NA,NA,NA,NA
"A018392","Migrated from old WRIMS data",6,11,NA,NA,NA,NA,NA,NA
"A018522","Migrated from old WRIMS data",NA,NA,NA,NA,11,5,NA,NA
"A018522","Migrated from old WRIMS data",NA,NA,NA,NA,11,5,NA,NA
"A018648","Migrated from old WRIMS data",NA,NA,NA,NA,NA,NA,NA,NA
"A018648","Migrated from old WRIMS data",NA,NA,NA,NA,NA,NA,NA,NA
"A018648","Migrated from old WRIMS data",NA,NA,NA,NA,NA,NA,NA,NA
"A018648","Migrated from old WRIMS data",NA,NA,NA,NA,NA,NA,NA,NA
"A018648","Migrated from old WRIMS data",NA,NA,NA,NA,NA,NA,NA,NA
"A018649","Migrated from old WRIMS data",1,6,11,12,NA,NA,NA,NA
"A018649","Migrated from old WRIMS data",1,6,11,12,NA,NA,NA,NA
"A018736","Migrated from old WRIMS data",NA,NA,NA,NA,10,5,NA,NA
"A018736","Migrated from old WRIMS data",NA,NA,NA,NA,10,5,NA,NA
"A018736","Migrated from old WRIMS data",NA,NA,NA,NA,10,5,NA,NA
"A018835","Requested when filed",NA,NA,NA,NA,10,4,NA,NA
"A018835","Requested when filed",NA,NA,NA,NA,10,4,NA,NA
"A018843","Migrated from old WRIMS data",NA,NA,NA,NA,10,5,NA,NA
"A018843","Migrated from old WRIMS data",NA,NA,NA,NA,10,5,NA,NA
"A018849","Migrated from old WRIMS data",NA,NA,NA,NA,10,4,NA,NA
"A018849","Migrated from old WRIMS data",NA,NA,NA,NA,10,4,NA,NA
"A018948","Migrated from old WRIMS data",NA,NA,NA,NA,10,4,NA,NA
"A018948","Migrated from old WRIMS data",NA,NA,NA,NA,10,4,NA,NA
"A018948","Migrated from old WRIMS data",NA,NA,NA,NA,10,4,NA,NA
"A018958","Migrated from old WRIMS data",NA,NA,NA,NA,10,5,NA,NA
"A018958","Migrated from old WRIMS data",NA,NA,NA,NA,10,5,NA,NA
"A018963","Migrated from old WRIMS data",NA,NA,NA,NA,10,5,NA,NA
"A018963","Migrated from old WRIMS data",NA,NA,NA,NA,10,5,NA,NA
"A018963","Migrated from old WRIMS data",NA,NA,NA,NA,10,5,NA,NA
"A019013","Migrated from old WRIMS data",NA,NA,NA,NA,1,4,NA,NA
"A019013","Migrated from old WRIMS data",NA,NA,NA,NA,1,4,NA,NA
"A019013","Migrated from old WRIMS data",NA,NA,NA,NA,1,4,NA,NA
"A019071","Migrated from old WRIMS data",4,10,NA,NA,NA,NA,NA,NA
"A019089","Migrated from old WRIMS data",NA,NA,NA,NA,10,4,NA,NA
"A019089","Migrated from old WRIMS data",NA,NA,NA,NA,10,4,NA,NA
"A019089","Migrated from old WRIMS data",NA,NA,NA,NA,10,4,NA,NA
"A019089","Migrated from old WRIMS data",NA,NA,NA,NA,10,4,NA,NA
"A019089","Migrated from old WRIMS data",NA,NA,NA,NA,10,4,NA,NA
"A019135","Migrated from old WRIMS data",1,12,NA,NA,NA,NA,NA,NA
"A019140","Migrated from old WRIMS data",5,11,NA,NA,NA,NA,NA,NA
"A019200","Migrated from old WRIMS data",NA,NA,NA,NA,11,5,NA,NA
"A019200","Migrated from old WRIMS data",NA,NA,NA,NA,11,5,NA,NA
"A019241","Migrated from old WRIMS data",NA,NA,NA,NA,10,4,NA,NA
"A019336","Migrated from old WRIMS data",NA,NA,NA,NA,11,6,NA,NA
"A019339","Migrated from old WRIMS data",4,12,NA,NA,NA,NA,NA,NA
"A019351","Migrated from old WRIMS data",1,12,NA,NA,10,5,NA,NA
"A019351","Migrated from old WRIMS data",NA,NA,NA,NA,10,5,NA,NA
"A019351","Migrated from old WRIMS data",1,12,NA,NA,10,5,NA,NA
"A019351","Migrated from old WRIMS data",1,12,NA,NA,10,5,NA,NA
"A019422","Migrated from old WRIMS data",NA,NA,NA,NA,9,5,NA,NA
"A019422","Migrated from old WRIMS data",NA,NA,NA,NA,9,5,NA,NA
"A019422","Migrated from old WRIMS data",NA,NA,NA,NA,9,5,NA,NA
"A019427","Requested when filed",NA,NA,NA,NA,NA,NA,NA,NA
"A019427","Requested when filed",NA,NA,NA,NA,NA,NA,NA,NA
"A019444","Migrated from old WRIMS data",NA,NA,NA,NA,10,5,NA,NA
"A019444","Migrated from old WRIMS data",NA,NA,NA,NA,10,5,NA,NA
"A019470","Migrated from old WRIMS data",1,12,NA,NA,NA,NA,NA,NA
"A019515","Migrated from old WRIMS data",NA,NA,NA,NA,10,5,NA,NA
"A019515","Migrated from old WRIMS data",NA,NA,NA,NA,10,5,NA,NA
"A019515","Migrated from old WRIMS data",NA,NA,NA,NA,10,5,NA,NA
"A019554","Migrated from old WRIMS data",NA,NA,NA,NA,9,6,NA,NA
"A019554","Migrated from old WRIMS data",4,11,11,4,9,6,NA,NA
"A019554","Migrated from old WRIMS data",4,11,11,4,9,6,NA,NA
"A019554","Migrated from old WRIMS data",4,11,NA,NA,9,6,NA,NA
"A019557","Migrated from old WRIMS data",NA,NA,NA,NA,10,5,NA,NA
"A019557","Migrated from old WRIMS data",NA,NA,NA,NA,10,5,NA,NA
"A019557","Migrated from old WRIMS data",NA,NA,NA,NA,10,5,NA,NA
"A019642","Migrated from old WRIMS data",NA,NA,NA,NA,11,5,NA,NA
"A019642","Migrated from old WRIMS data",NA,NA,NA,NA,11,5,NA,NA
"A019649","Migrated from old WRIMS data",NA,NA,NA,NA,10,5,NA,NA
"A019652","Migrated from old WRIMS data",NA,NA,NA,NA,10,6,NA,NA
"A019652","Migrated from old WRIMS data",NA,NA,NA,NA,10,6,NA,NA
"A019652","Migrated from old WRIMS data",NA,NA,NA,NA,10,6,NA,NA
"A019720","Migrated from old WRIMS data",NA,NA,NA,NA,10,5,NA,NA
"A019720","Migrated from old WRIMS data",NA,NA,NA,NA,10,5,NA,NA
"A019722","Migrated from old WRIMS data",NA,NA,NA,NA,11,4,NA,NA
"A019722","Migrated from old WRIMS data",NA,NA,NA,NA,11,4,NA,NA
"A019722","Migrated from old WRIMS data",NA,NA,NA,NA,11,4,NA,NA
"A019798","Migrated from old WRIMS data",NA,NA,NA,NA,10,5,NA,NA
"A019806","Migrated from old WRIMS data",NA,NA,NA,NA,10,5,NA,NA
"A019806","Migrated from old WRIMS data",NA,NA,NA,NA,10,5,NA,NA
"A019891","Migrated from old WRIMS data",NA,NA,NA,NA,10,4,NA,NA
"A019891","Migrated from old WRIMS data",NA,NA,NA,NA,10,4,NA,NA
"A019891","Migrated from old WRIMS data",NA,NA,NA,NA,10,4,NA,NA
"A019921","Migrated from old WRIMS data",NA,NA,NA,NA,11,5,NA,NA
"A019921","Migrated from old WRIMS data",NA,NA,NA,NA,11,5,NA,NA
"A019921","Migrated from old WRIMS data",NA,NA,NA,NA,11,5,NA,NA
"A019921","Migrated from old WRIMS data",NA,NA,NA,NA,11,5,NA,NA
"A020005","Migrated from old WRIMS data",1,12,NA,NA,NA,NA,NA,NA
"A020005","Migrated from old WRIMS data",1,12,NA,NA,NA,NA,NA,NA
"A020015","Migrated from old WRIMS data",NA,NA,NA,NA,11,5,NA,NA
"A020015","Migrated from old WRIMS data",NA,NA,NA,NA,11,5,NA,NA
"A020071","Migrated from old WRIMS data",NA,NA,NA,NA,11,5,NA,NA
"A020071","Migrated from old WRIMS data",NA,NA,NA,NA,11,5,NA,NA
"A020071","Migrated from old WRIMS data",NA,NA,NA,NA,11,5,NA,NA
"A020078","Migrated from old WRIMS data",NA,NA,NA,NA,10,5,NA,NA
"A020089","Migrated from old WRIMS data",1,12,NA,NA,NA,NA,NA,NA
"A020089","Migrated from old WRIMS data",4,12,NA,NA,NA,NA,NA,NA
"A020100","Requested when filed",NA,NA,NA,NA,10,4,NA,NA
"A020100","Requested when filed",NA,NA,NA,NA,10,4,NA,NA
"A020114","Migrated from old WRIMS data",NA,NA,NA,NA,11,5,NA,NA
"A020114","Migrated from old WRIMS data",NA,NA,NA,NA,11,5,NA,NA
"A020127","Migrated from old WRIMS data",NA,NA,NA,NA,10,5,NA,NA
"A020127","Migrated from old WRIMS data",NA,NA,NA,NA,10,5,NA,NA
"A020129","Migrated from old WRIMS data",NA,NA,NA,NA,11,5,NA,NA
"A020129","Migrated from old WRIMS data",NA,NA,NA,NA,11,5,NA,NA
"A020129","Migrated from old WRIMS data",NA,NA,NA,NA,11,5,NA,NA
"A020134","Migrated from old WRIMS data",1,12,NA,NA,NA,NA,NA,NA
"A020134","Migrated from old WRIMS data",1,12,NA,NA,NA,NA,NA,NA
"A020134","Migrated from old WRIMS data",1,12,NA,NA,NA,NA,NA,NA
"A020147","Migrated from old WRIMS data",NA,NA,NA,NA,10,5,NA,NA
"A020147","Migrated from old WRIMS data",NA,NA,NA,NA,10,5,NA,NA
"A020261","Migrated from old WRIMS data",NA,NA,NA,NA,10,5,NA,NA
"A020261","Migrated from old WRIMS data",NA,NA,NA,NA,10,5,NA,NA
"A020264","Migrated from old WRIMS data",NA,NA,NA,NA,10,5,NA,NA
"A020264","Migrated from old WRIMS data",NA,NA,NA,NA,10,5,NA,NA
"A020264","Migrated from old WRIMS data",NA,NA,NA,NA,10,5,NA,NA
"A020333","Migrated from old WRIMS data",NA,NA,NA,NA,10,6,NA,NA
"A020333","Migrated from old WRIMS data",NA,NA,NA,NA,10,6,NA,NA
"A020333","Migrated from old WRIMS data",NA,NA,NA,NA,10,6,NA,NA
"A020384","Migrated from old WRIMS data",NA,NA,NA,NA,10,5,NA,NA
"A020401","Migrated from old WRIMS data",NA,NA,NA,NA,10,3,NA,NA
"A020401","Migrated from old WRIMS data",NA,NA,NA,NA,10,3,NA,NA
"A020435","Migrated from old WRIMS data",NA,NA,NA,NA,10,5,NA,NA
"A020435","Migrated from old WRIMS data",NA,NA,NA,NA,10,5,NA,NA
"A020436","Migrated from old WRIMS data",NA,NA,NA,NA,10,5,NA,NA
"A020436","Migrated from old WRIMS data",NA,NA,NA,NA,10,5,NA,NA
"A020436","Migrated from old WRIMS data",NA,NA,NA,NA,10,5,NA,NA
"A020436","Migrated from old WRIMS data",NA,NA,NA,NA,10,5,NA,NA
"A020491","Migrated from old WRIMS data",6,10,NA,NA,NA,NA,NA,NA
"A020491","Migrated from old WRIMS data",6,10,NA,NA,NA,NA,NA,NA
"A020493","Migrated from old WRIMS data",NA,NA,NA,NA,10,5,NA,NA
"A020493","Migrated from old WRIMS data",NA,NA,NA,NA,10,5,NA,NA
"A020509","Migrated from old WRIMS data",NA,NA,NA,NA,10,5,NA,NA
"A020509","Migrated from old WRIMS data",NA,NA,NA,NA,10,5,NA,NA
"A020540","Requested when filed",5,11,NA,NA,5,11,NA,NA
"A020540","Requested when filed",5,11,NA,NA,5,11,NA,NA
"A020557","Requested when filed",NA,NA,NA,NA,10,5,NA,NA
"A020557","Requested when filed",NA,NA,NA,NA,10,5,NA,NA
"A020573","Migrated from old WRIMS data",NA,NA,NA,NA,11,5,NA,NA
"A020573","Migrated from old WRIMS data",NA,NA,NA,NA,11,5,NA,NA
"A020573","Migrated from old WRIMS data",NA,NA,NA,NA,11,5,NA,NA
"A020582","Migrated from old WRIMS data",NA,NA,NA,NA,10,5,NA,NA
"A020582","Migrated from old WRIMS data",NA,NA,NA,NA,10,5,NA,NA
"A020583","Migrated from old WRIMS data",NA,NA,NA,NA,10,3,NA,NA
"A020584","Migrated from old WRIMS data",NA,NA,NA,NA,10,5,NA,NA
